Ayanokoji Karatsu;Japan;Kyoto;1;Japanese
Sushi Kappo Nakaichi;Japan;Kyoto;1;Japanese
Nishijin Fujiyoshi;Japan;Kyoto;1;Japanese
Kyokaiseki Kichisen;Japan;Kyoto;2;Japanese
Kikunoi Honten;Japan;Kyoto;3;Japanese
Droit;Japan;Kyoto;1;French
Oryori Hiwatashi;Japan;Kyoto;1;Japanese
Gion Maruyama;Japan;Kyoto;2;Japanese
Gion Okada;Japan;Kyoto;1;Japanese
Iwasaki;Japan;Kyoto;1;Japanese
Yusokuryori Mankamero;Japan;Kyoto;2;Japanese
Tozentei;Japan;Kyoto;1;Japanese
Sushi Rakumi;Japan;Kyoto;1;Sushi
Oshikoji Okada;Japan;Kyoto;1;Japanese
CAINOYA;Japan;Kyoto;1;Innovative
naruya;Japan;Kyoto;1;Japanese
Reine des prés;Japan;Kyoto;1;French
La Biographie···;Japan;Kyoto;1;French
MUNI LA TERRASSE;Japan;Kyoto;1;French
Kenninji Gion Maruyama;Japan;Kyoto;2;Japanese
Kodaiji Wakuden;Japan;Kyoto;2;Japanese
Gion Nishimura;Japan;Kyoto;1;Japanese
Kako Okamoto;Japan;Kyoto;1;Japanese
Kodaiji Jugyuan;Japan;Kyoto;1;Japanese
Gion Fukushi;Japan;Kyoto;1;Japanese
Gion Sasaki;Japan;Kyoto;3;Japanese
NAKATSUKA;Japan;Kyoto;1;French
Kokyu;Japan;Kyoto;1;Japanese
Gion Nishikawa;Japan;Kyoto;2;Japanese
Kappo Hassun;Japan;Kyoto;1;Japanese
Shuhaku;Japan;Kyoto;1;Japanese
Shimogamo Saryo;Japan;Kyoto;1;Japanese
Kanamean Nishitomiya;Japan;Kyoto;1;Japanese
TAKAYAMA;Japan;Kyoto;1;Italian
Mizai;Japan;Kyoto;3;Japanese
Sokkon Fujimoto;Japan;Kyoto;1;Japanese
Ogata;Japan;Kyoto;2;Japanese
Kikunoi Roan;Japan;Kyoto;2;Japanese
Ryoriya Maekawa;Japan;Kyoto;1;Japanese
Okina;Japan;Kyoto;1;Japanese
Sanso Kyoyamato;Japan;Kyoto;1;Japanese
Mirei;Japan;Kyoto;1;Japanese
Sumibi Kappo Ifuki;Japan;Kyoto;2;Japanese
Shimmonzen Yonemura;Japan;Kyoto;2;Innovative
Aoike;Japan;Kyoto;1;French
cenci;Japan;Kyoto;1;Italian
Tominokoji Yamagishi;Japan;Kyoto;1;Japanese
Gokomachi Tagawa;Japan;Kyoto;1;Japanese
Oryori Mashita;Japan;Kyoto;1;Japanese
MUNI ALAIN DUCASSE;Japan;Kyoto;1;French
Miyamaso;Japan;Kyoto;2;Japanese
Torisaki;Japan;Kyoto;1;Yakitori
Sojiki Nakahigashi;Japan;Kyoto;2;Japanese
Honke Tankuma Honten;Japan;Kyoto;1;Japanese
Tempura Mizuki;Japan;Kyoto;1;Tempura
Jiki Miyazawa;Japan;Kyoto;1;Japanese
Gion Kajisho;Japan;Kyoto;1;Japanese
Nakazen;Japan;Kyoto;1;Japanese
Gion Kida;Japan;Kyoto;1;Japanese
Otagi;Japan;Kyoto;2;Japanese
Gion Iwasaki;Japan;Kyoto;1;Japanese
VELROSIER;Japan;Kyoto;1;Chinese
Ogawa;Japan;Kyoto;1;Japanese
Funaokayama Shimizu;Japan;Kyoto;1;Japanese
Ichijoji Norihide;Japan;Kyoto;1;Japanese
